mianji,danjian
33,6406
32,7215
115,3391
115,3391
103,3398
103,3398
127,3543
45,7333
36,7607
45,7615
36,7626
47,7655
56,7704
45,7778
45,7790
57,7793
119,5294
58,6207
115,6261
129,6357
58,6724
114,6153
140,6195
140,6196
110,6273
135,6296
135,6296
111,6314
118,6356
118,6356
118,6356
135,6667
135,6667
134,6737
134,6737
118,6780
85,6864
85,6864
135,7333
136,7337
78,7436
51,7451
120,7500
105,4952
105,5238
105,5333
105,5524
105,5524
105,5714
104,5760
110,5760
104,5769
136,5874
136,5874
111,5884
111,5998
178,4764
93,4946
140,5000
148,5270
170,5294
170,5882
134,5973
112,6071
249,6175
138,3605
138,3624
117,3705
149,6519
125,6608
145,6621
150,6662
157,6688
124,6694
146,6712
156,6748
125,6833
156,6887
140,6891
155,7032
144,7083
43,7442
118,7458
120,7500
160,7500
119,7563
62,7581
145,7586
62,7692
175,7714
46,7726
62,7742
45,7778
61,7869
152,7895
145,7931
116,8190
50,8200
45,8222
62,8226
41,8293
217,8295
63,8320
63,8320
44,8347
118,8475
217,8571
63,8584
63,8587
44,8642
121,8678
43,8735
64,8750
96,6146
61,7213
120,7500
170,7647
120,7667
148,7770
148,7838
165,8000
148,8108
148,8108
148,8108
148,8108
150,8133
145,8138
196,8163
147,8163
147,8163
163,8234
163,8234
163,8234
143,8392
143,8392
190,8421
190,8421
178,8427
140,8429
140,8429
148,8446
148,8446
138,8478
123,8537
123,8537
138,8551
135,8593
186,8602
190,8684
120,8750
123,8780
123,8780
148,8784
175,8857
221,8959
200,9000
200,9000
250,9120
123,9350
196,9439
180,9444
168,9524
168,9524
168,9524
168,9524
180,9527
207,9540
142,9576
125,9600
207,9639
138,9640
180,9648
157,9655
160,9688
180,9704
180,9722
207,9758
220,9764
163,9816
205,9854
148,9885
131,9924
156,9932
138,9940
210,9947
170,9953
207,9959
150,10000
207,10015
138,10017
188,10031
145,10050
148,10068
207,10073
205,10094
163,10097
198,10101
150,6000
150,6000
150,6000
150,6000
200,6000
138,6014
143,6014
138,6014
148,6014
148,6014
144,6042
144,6042
157,6051
147,6054
147,6054
180,6056
145,6069
145,6069
145,6069
145,6069
145,6069
145,6069
140,6071
135,6074
181,6077
147,6081
143,6084
143,6084
147,6088
147,6093
147,6093
147,6093
144,6111
144,6111
144,6111
144,6111
144,6111
126,6111
126,6111
144,6111
144,6111
147,6115
147,6115
147,6122
147,6122
147,6122
147,6122
147,6122
147,6122
147,6122
147,6127
147,6127
106,6132
150,6133
145,6138
145,6138
143,6154
143,6154
143,6154
143,6154
138,6159
151,6159
172,6163
146,6164
146,6164
146,6164
146,6164
146,6164
146,6164
107,6168
151,6175
151,6175
178,6180
144,6181
144,6181
144,6181
144,6181
147,6183
147,6183
147,6190
147,6190
147,6190
147,6190
147,6195
142,6197
150,6200
108,6204
108,6204
145,6207
145,6207
145,6207
145,6207
143,6224
143,6224
144,6250
144,6250
144,6250
144,6250
144,6250
147,6258
145,6276
145,6276
140,6286
140,6286
140,6286
143,6287
143,6294
143,6294
143,6294
143,6294
143,6294
135,6296
108,6296
108,6296
145,6310
147,6319
144,6319
147,6319
136,6324
139,6331
150,6333
150,6333
142,6338
142,6338
142,6338
145,6345
145,6345
145,6345
145,6345
145,6345
137,6350
140,6357
140,6357
137,6360
110,6364
143,6364
138,6368
138,6368
138,6377
138,6377
138,6377
141,6383
144,6389
108,6389
180,6389
180,6389
144,6390
147,6395
147,6395
150,6400
150,6400
150,6400
150,6400
106,6415
106,6415
218,6422
218,6422
140,6429
138,6449
138,6449
217,6452
147,6463
147,6463
147,6463
147,6463
139,6475
139,6475
182,6484
137,6496
140,6500
146,6507
146,6507
146,6507
146,6507
106,6509
112,6518
135,6519
135,6519
138,6522
138,6522
138,6522
138,6522
142,6549
116,6552
145,6552
145,6552
145,6552
134,6567
112,6589
135,6593
182,6593
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
144,6597
147,6599
147,6599
147,6599
150,6600
150,6600
136,6618
145,6621
145,6621
145,6621
181,6630
181,6630
181,6630
110,6636
143,6643
143,6643
143,6643
143,6643
143,6643
200,6650
111,6667
180,6667
180,6667
210,6667
108,6667
180,6667
112,6696
112,6707
146,6712
137,6715
180,6715
134,6716
110,6727
144,6736
144,6736
141,6738
138,6739
148,6757
145,6759
145,6759
136,6765
180,6778
180,6778
180,6778
199,6784
140,6786
112,6786
112,6786
140,6786
140,6786
140,6786
106,6792
147,6803
135,6815
180,6815
110,6818
110,6818
110,6818
170,6824
85,6824
85,6824
180,6826
180,6833
174,6839
168,6845
168,6845
143,6853
137,6861
153,6863
128,6875
128,6875
138,6884
106,6887
106,6887
106,6887
106,6887
135,6889
135,6889
116,6897
145,6897
200,6900
210,6905
181,6906
145,6911
217,6912
217,6912
180,6944
180,6944
108,6944
108,6944
180,6944
180,6944
180,6944
180,6944
180,6944
180,6944
180,6944
180,6944
161,6957
112,6964
112,6964
198,6970
109,6972
129,6977
129,6977
106,6981
106,6981
106,6981
106,6981
106,6981
106,6981
106,6981
106,6981
143,6993
143,6993
143,6993
130,7000
150,7000
150,7000
200,7011
185,7027
185,7027
199,7035
108,7037
108,7037
108,7037
135,7037
135,7037
139,7050
181,7072
106,7075
106,7075
106,7075
106,7075
106,7075
106,7075
106,7075
106,7075
106,7075
106,7075
130,7077
155,7097
138,7101
107,7109
218,7110
180,7111
108,7130
108,7130
77,7143
112,7143
140,7143
175,7143
106,7170
106,7170
181,7174
112,7175
181,7182
181,7182
135,7185
128,7188
139,7194
139,7194
132,7197
132,7197
125,7200
125,7200
175,7200
111,7207
180,7222
180,7222
180,7222
180,7222
173,7225
152,7237
145,7241
80,7250
172,7267
77,7273
144,7292
130,7308
175,7314
175,7314
150,7333
105,7333
150,7333
185,7351
170,7353
106,7358
106,7358
129,7364
129,7364
129,7364
217,7373
149,7383
115,7391
138,7391
146,7397
108,7407
108,7407
135,7407
128,7422
105,7429
105,7429
176,7443
106,7453
106,7453
106,7453
106,7453
98,7454
112,7469
174,7471
115,7472
182,7473
116,7475
107,7475
138,7478
147,7483
167,7488
88,7489
198,7490
112,7492
82,7497
106,7497
88,7499
112,7499
100,7500
100,7500
140,7500
140,7500
88,7504
188,7504
112,7509
172,7516
109,7523
119,7523
77,7532
108,7533
209,7534
199,7538
77,7540
106,7547
106,7547
106,7547
106,7547
143,7552
139,7554
135,7557
172,7558
120,7566
129,7575
147,7580
180,7582
183,7583
145,7586
145,7586
180,7589
130,7596
112,7606
112,7607
111,7607
172,7608
182,7613
179,7614
173,7614
112,7616
105,7619
105,7619
105,7619
147,7627
219,7628
112,7628
147,7630
140,7631
144,7639
144,7639
112,7639
112,7642
142,7643
170,7647
115,7649
110,7651
106,7653
143,7654
180,7656
134,7657
106,7657
111,7658
111,7658
144,7662
111,7663
107,7664
107,7664
107,7664
181,7664
112,7665
143,7667
114,7669
119,7672
180,7681
112,7683
130,7684
108,7685
108,7685
110,7685
130,7692
130,7692
138,7698
112,7701
180,7704
118,7705
137,7708
217,7709
115,7715
136,7721
120,7722
100,7722
110,7725
110,7727
220,7727
129,7727
200,7731
107,7734
106,7736
105,7743
130,7743
129,7753
77,7754
185,7757
106,7759
106,7761
106,7765
140,7769
140,7774
113,7776
151,7776
135,7778
130,7782
106,7784
112,7786
148,7787
160,7791
106,7791
139,7792
118,7797
59,7797
59,7797
59,7797
175,7798
110,7798
147,7812
133,7820
133,7820
215,7824
134,7826
184,7827
106,7830
129,7831
120,7833
217,7834
112,7834
134,7836
148,7838
106,7842
129,7845
107,7850
112,7853
100,7856
145,7862
117,7863
117,7863
150,7867
150,7867
108,7870
108,7870
146,7877
130,7877
107,7883
138,7884
175,7886
106,7887
170,7887
126,7890
105,7905
134,7918
135,7918
106,7925
225,7930
145,7931
185,7931
101,7931
119,7935
130,7937
75,7333
75,7333
77,7403
58,7414
58,7414
80,7750
80,7750
80,7799
80,7816
82,7834
77,7841
80,7877
57,7887
80,7902
119,7914
79,7914
128,7926
57,7930
50,7944
82,7958
150,7966
57,8012
62,6129
119,6134
62,6161
60,6167
61,6230
118,6271
119,6303
119,6303
76,6316
44,6325
108,6326
44,6364
55,6364
119,6387
75,6400
115,6435
119,6471
56,6475
61,6557
44,6573
76,6711
77,6771
76,6974
54,7092
108,7222
79,7322
79,7322
40,7500
84,7500
84,7500
61,7705
37,7838
56,7857
95,7895
85,6471
55,6545
74,6748
74,6757
74,6892
101,6931
74,7162
74,7162
78,7179
75,7200
75,7205
75,7205
74,7230
80,7250
100,7300
30,7333
101,7426
101,7426
101,7426
74,7432
74,7432
74,7432
74,7568
93,7742
74,7838
74,7838
46,7907
75,8000
75,8000
90,8000
28,8214
28,8391
128,6875
110,6909
110,6909
107,6916
133,6992
125,7040
83,7108
110,7117
110,7117
60,7134
105,7143
133,7143
133,7143
60,7167
60,7167
60,7188
102,7192
107,7196
50,7200
50,7200
110,7209
108,7222
55,7273
103,7282
103,7282
48,7292
48,7292
103,7313
102,7328
75,7333
105,7333
103,7379
100,7400
58,7414
58,7414
83,7435
110,7455
107,7477
104,7500
48,7500
48,7500
56,7500
48,7516
48,7516
57,7544
102,7549
50,7600
50,7600
109,7615
101,7624
68,7647
128,7656
47,7660
129,7674
56,7679
49,7755
107,7757
58,7779
58,7779
127,7795
50,7800
50,7800
50,7800
50,7800
55,7818
56,7821
51,7843
51,7843
51,7845
48,7875
133,7895
48,7917
58,7931
48,7933
107,7944
107,7944
73,7945
73,7945
88,7955
49,7959
108,7963
110,7977
100,7986
110,8000
110,8000
50,8000
106,8019
107,8037
72,8056
72,8056
52,8077
133,8120
133,8120
133,8120
108,8148
108,8148
49,8163
49,8163
49,8163
120,8167
55,8182
55,8182
73,8192
72,8194
50,8200
