楼盘名称,项目别名,jd,wd
10里原麓,,,
24队车站小区,,,
e度空间,e度空间,,
MOMA西西里,,,
阿卡迪亚江域二十七峰,江域二十七峰;江域27峰,,
艾佳沁园,艾佳沁园,,
爱德华大厦,爱德华大厦,,
爱丁堡花园,爱丁堡,,
爱丁名苑,爱丁名苑,,
爱丁新甸,爱丁新甸,,
爱华大厦,爱华大厦,,
爱华隆兴嘉园,爱华隆兴嘉园;爱华隆鑫嘉园,,
爱心物业,爱心物业,,
爱心小区,爱心小区,,
安居小区,,,
安康路188号,广电局,,
安礼路80号,海宇西苑,,
安信家园,安信家园;安信家园一期;安信家园二期,,
奥飞马,,,
奥林匹克花园九期,融创博爵堡;融创奥山博爵堡,,
奥林匹克花园六期,奥山别墅;融创勋爵堡,,
奥林匹克花园三期,奥林匹克花园雅典海岸,,
奥林匹克花园十二期,融创尊爵堡,,
奥林匹克花园十五期,融创御锦Ⅱ;融创御锦二期;融创御苑（别墅）,,
奥体东路1号,上城奥悦,,
奥体东路63号,华宇2008公寓;华宇2008,,
奥体路1号,中新城上城;中新城上城二期;中新城上城活力mall,,
奥体路28号,保利国宾上院,,
奥体路2号,韵动人家,,
奥体路7号,左邻右舍;左林右舍,,
奥体五支路1号,青年根据地,,
奥体运动街160号,星韵苑;金洲星韵苑,,
奥体运动街63号,同创奥韵;同创奥韵B区,,
奥园城市天地,奥园城市天地A区;奥园城市天地;奥园城市天地C区,,
奥园康城,奥园康城;奥园康城A区;奥园康城c区;奥园康城B区,,
奥园越时代,奥园越时代B区,,
奥韵汇龙国际,,,
奥韵路3号,上城奥邻,,
八桥街,八桥街,,
八桥街170号,远景天下,,
八桥街34号,新华小区,,
八桥街45号,鑫桥小区,,
八桥街56号,轻轨志龙居;志龙居,,
八桥街67号,洄龙园;洄龙苑,,
八一路10号,香江庭院,,
八一路181号,鸿德181,,
八一路191号,八一路老小区,,
八一路213号,八一路老小区,,
八一路218号,雅地天际,,
八一路223号,八一路老小区,,
八一路260号,恒通云鼎国际公寓;恒通云鼎;云鼎国际,,
八一路9号,帝都大厦,,
巴比亚半山,巴比亚半山;巴比亚半山一期,,
巴滨路1号,浩立碧海湾;浩立碧海湾二期,,
巴滨路68号,华宇龙湾;华宇.龙湾一期一组团;华宇.龙湾一期二组团;华宇.龙湾一期四组团,,
巴滨路888号,宗申.金蓝湾一期;宗申金蓝湾;金蓝湾;宗申.金蓝湾二期,,
巴国锦苑,巴国景苑,,
巴教村,,,
巴黎花园,巴黎花园,,
巴南大道1号,尚美时代A区；尚美时代一期,,
巴南大道68号,曦圆青岗湾;曦圆.青岗湾二期,,
巴南大道6号,尚美时代B区,,
巴南大道80号,,,
