,楼盘名称,项目别名,jd,wd
0,10里原麓,,,
1,24队车站小区,,106.232190,29.595463
2,e度空间,e度空间,106.510305,29.535458
3,MOMA西西里,,106.283558,29.271209
4,阿卡迪亚江域二十七峰,江域二十七峰;江域27峰,106.489777,29.548109
5,艾佳沁园,艾佳沁园,106.516688,29.516803
6,爱德华大厦,爱德华大厦,,
7,爱丁堡花园,爱丁堡,106.520109,29.578831
8,爱丁名苑,爱丁名苑,106.520389,29.577763
9,爱丁新甸,爱丁新甸,106.520738,29.577600
10,爱华大厦,爱华大厦,106.451391,29.542499
11,爱华隆兴嘉园,爱华隆兴嘉园;爱华隆鑫嘉园,106.526514,29.565439
12,爱心物业,爱心物业,106.620552,29.704269
13,爱心小区,爱心小区,106.567320,29.521545
14,安居小区,,106.336515,29.619969
15,安康路188号,广电局,106.637166,29.738275
16,安礼路80号,海宇西苑,106.391458,29.802452
17,安信家园,安信家园;安信家园一期;安信家园二期,106.502349,29.492939
18,奥飞马,,106.540639,29.588259
19,奥林匹克花园九期,融创博爵堡;融创奥山博爵堡,106.564787,29.635788
20,奥林匹克花园六期,奥山别墅;融创勋爵堡,106.555273,29.633503
21,奥林匹克花园三期,奥林匹克花园雅典海岸,106.560439,29.638524
22,奥林匹克花园十二期,融创尊爵堡,106.560661,29.636072
23,奥林匹克花园十五期,融创御锦Ⅱ;融创御锦二期;融创御苑（别墅）,106.552105,29.631126
24,奥体东路1号,上城奥悦,106.510280,29.524537
